,ProteinID,FrequencyA,FrequencyC,FrequencyD,FrequencyE,FrequencyF,FrequencyG,FrequencyH,FrequencyI,FrequencyK,FrequencyL,FrequencyM,FrequencyN,FrequencyP,FrequencyQ,FrequencyR,FrequencyS,FrequencyT,FrequencyV,FrequencyW,FrequencyY,Aromaticity,Target,BP,CC,MF,Eigenvector Centrality,Modularity,PageRank,SSfractionHelix,SSfractionTurn,SSfractionSheet
0,P24530,-0.09218166417671061,1.5759371752284228,-1.2236106879180388,-1.2635827445822105,0.8147823615284682,-0.6991142806279019,-1.2666273983706795,1.6994682365104563,0.2609862236127051,1.3332320646967086,-0.0633244084612078,0.25024176760794276,0.050613876984961316,-1.090217512590696,-0.6381965968379264,-0.18406648733331943,-0.5268007983243133,0.13483072690829928,1.458429279652144,0.3060986086685681,1.0751849045480515,0,-0.689569691270911,0.4979092760581705,-1.6893190071143116,-0.137192930474823,-0.2716360292526411,0.16164928279822513,1.7464585086066877,-0.3706874032516601,-0.3706874032516601
1,Q9NSU2,1.877968682771471,0.28486785094967226,-0.5472781291040076,-1.398586551795277,-0.7606982017886852,0.18727154179039268,-0.21687815148518358,-1.2350148029394699,-1.3704835417824177,2.0302161555610856,-0.802777244505199,-1.830369976429144,1.5727358937084612,-0.6424967150183059,0.03562658916770203,0.1391905265475415,1.6583696347505896,-0.7687309356636438,-0.2718491283845108,-0.7903050711300591,-0.9022034978805693,0,-0.9677570501059047,-1.072278378846913,-1.2796194331190907,-0.1245649868069181,-0.34969711202987463,-0.24774072642943004,-0.1291749659290585,0.56778584269129,0.56778584269129
2,P54259,0.7595321021263172,-1.2142190360517922,-1.6146382612869636,-0.660538727464446,-1.2605301928939572,0.47189058238517784,2.3113761932915726,-1.9811035494883886,-1.073915059884124,-0.8529858817316749,-1.1689824585460329,-1.0906003130755428,4.252845046823741,0.42246841429217147,-0.11519677312779572,1.9563444802283616,-0.8710502518158586,-1.4436737057867637,-1.3141585943440308,-0.25790983736152506,-1.2656583483908774,0,-0.5625863821818371,0.34798604302063574,0.29152338554271195,-0.13286553692706884,1.0178810999788224,-0.16939793228031566,-2.1262180055570323,3.210023835268567,3.210023835268567
3,Q9H0F5,-0.5830116369463505,0.5231176570680507,-1.1307519847088678,-0.790282985187706,0.33323373961088854,-1.0648020332199677,3.406429984374496,-1.0765688403589464,-1.6957753747616175,-0.396452362272118,-0.8457687501062789,-0.1789285049291059,3.101157697569437,1.2278606688634142,0.6291193442143392,0.397967209195698,-0.9762425030999822,0.4023861879744483,-1.0225433841574207,-0.4244839712834479,-0.3288941113254054,1,-0.2481748393067411,0.02932244536886988,0.07365280012660162,-0.08566298688363248,0.34137921416826006,-0.4009351122011971,-0.5796461657686381,1.2600774225557017,1.2600774225557017
4,Q9Y210,0.11649594047316107,-0.3267377869915515,-0.21452906205249692,0.30893089316001937,1.3345054002827441,-0.5597647385510754,-0.3970657317061657,0.9139071469568413,0.3446595869640071,0.6476184464979489,0.8774101340726533,0.9758220713557589,-0.8582365247926983,-0.3749519206045116,-0.465987657571777,-0.16312973690575736,-1.5900643437045983,-0.48678309214032983,0.31187036732730117,0.8226116098920715,1.2629821993427983,1,-0.30444161091459043,-0.15417657147305333,-0.8365085541832277,-0.13762361226146363,-0.42805112497658343,0.12639326576083237,1.0349104702049834,-0.6014144356886395,-0.6014144356886395
5,P29317,0.14258783651746,0.3607234958716442,-0.2201150864385957,0.04563011301358567,0.20150473228473886,0.3463997071913091,-0.48701942843705126,-0.06592974656080769,-0.4069382762136254,-0.7379442220080628,0.49279352537640747,-0.6445589804596694,-0.08225508753178457,-0.42083352546885583,-0.13297255854360795,-0.2600867544051639,0.4666477296955385,1.0364962953194268,0.6335549273399851,0.760772630529713,0.6770991307995647,0,-0.8568487090802624,-0.8760911514059346,-0.41583874591757386,-0.11971709495064306,-0.04995987358144259,-0.5524441334413093,0.2691222008439631,-0.14015465886182135,-0.14015465886182135
6,P00748,0.5704649740456952,2.8683529891198294,-0.9386622702812871,-0.7293847529513221,-0.7221897497292794,0.40859644646201587,1.8489592835978272,-1.6464137267026675,-1.1502909655319884,0.1500097162103329,-1.662802458360997,-1.2059024950872854,0.9892736472691959,0.7849088698177018,0.4661585117083881,-0.6951218949924434,0.290368154711354,-0.6158451736681183,1.2616793421920123,0.23805076038331152,0.08954948239727882,0,-0.32839841640573114,0.1418389548154257,-0.47327904419510836,-0.12326283599279478,-0.4277581948071083,-0.548629483734283,-0.6605020673260132,0.13550289768646803,0.13550289768646803
7,Q15911,0.08949096009264186,0.06718822571084186,-0.4216400938608749,0.07131225554227946,-0.4970050187798451,-0.17767215382420612,0.28522978037231905,-1.0399237007271545,0.06385466713423704,-0.08921138024098477,-0.17591962424519744,0.2943941380920627,0.9875927355912261,1.8312815936309972,-1.2191862973573215,1.0117538635831667,0.030365452265054892,-1.362313489617204,-1.0003991460253432,-0.5725391236062896,-0.8739845039003181,0,0.682813118991039,1.048642392531936,1.0251124574868098,-0.01654830584017324,-0.2716360292526411,0.18536880760955907,-1.236729803484382,0.9866887032976585,0.9866887032976585
8,Q16623,-0.40756940287434446,-0.6986275535330276,1.8854455604907872,2.0061746524550506,-0.5962350052286324,-1.1395706748893202,-0.6883603009802866,2.7898472612800935,0.8402792151124873,-1.5840087339995848,2.0380203632957707,-0.7122703028605275,-1.7425150865635117,-0.46286388979416043,1.0993751416785804,0.43597829868003635,-0.04789019216724764,0.08561963265860181,-1.5366502138622427,-0.9427492691976049,-1.2755831676158598,1,-0.12112419209108262,-1.1469521964418676,-1.1466487908726215,-0.13567586853471486,2.0946156343263422,-0.4615857859725121,-0.32141078582895255,-1.534874433358971,-1.534874433358971
9,Q03426,0.7658428909333509,0.27016334050514484,-0.4410334446872429,-0.292500164487937,-1.4990573765466124,0.6215662049264662,0.3074607294139513,-0.12652536562947964,-0.6610517413811529,2.2296569357262572,-1.4453069044290767,-0.3367801671759189,-0.3844711426260989,-0.3373606842166098,-0.4858143772163574,-0.2407744420791133,-0.15848499547915765,1.1475519661478693,0.1348461701445239,-1.3558747642418254,-1.4719890540834135,0,0.0465399520365351,0.3075156607952798,-0.13187080688280012,-0.1378823804137986,-0.2716360292526411,-0.23630623397315587,0.7111755585991177,-0.07193311203774971,-0.07193311203774971
