,ProteinID,FrequencyA,FrequencyC,FrequencyD,FrequencyE,FrequencyF,FrequencyG,FrequencyH,FrequencyI,FrequencyK,FrequencyL,FrequencyM,FrequencyN,FrequencyP,FrequencyQ,FrequencyR,FrequencyS,FrequencyT,FrequencyV,FrequencyW,FrequencyY,Aromaticity,Isoelectricity,Target,BP,CC,MF,Eigenvector Centrality,Modularity,PageRank,BetweennessCentrality,DegreeCentrality,ClosenessCentrality,HarmonicCentrality,AvgSP,SSfractionHelix,SSfractionTurn,SSfractionSheet
0,Q9Y5X4,1.443560040459988,0.8509351439973445,-0.7125452131559855,-0.2813477274077362,0.20793747720044148,-0.31940376376787893,-0.016383504080948873,-0.9913464756857912,-0.7206417792784551,0.4731187474072203,0.9389881054566889,-0.9641234694824181,0.5486070319224197,-0.13865460387349324,0.6476176036398937,0.8219779962283909,-0.4502395421745752,-0.851631663043552,-0.24511349677297792,-1.6063027130410414,-0.7198343663945237,0.7597283406445604,0,0.2820158468600298,0.7362022277681555,-0.4931200297573944,-0.12671531621868604,0.4964677058591919,-0.4284569802602281,-0.21008578591465515,-0.37495433824810626,-4.1072873966369485,-3.98041121180763,0.6395136294729913,-0.7212915407596596,0.27060924612526743,0.27060924612526743
1,Q9UQQ2,1.0335849658470588,0.09751960127928173,-0.5237866267823046,0.02921706770850038,0.15334305304604387,0.0005267634034857757,1.3096319129684806,-1.4983115663983189,-1.5578110618659415,0.28599647364707154,-1.2165583200220533,-1.613773196748421,1.675180814299231,-0.16274756405121418,1.6890350018037659,0.9945989829558739,-1.5039335699191212,-1.0177073644198675,0.5354239114778567,-0.9401148362383597,-0.19021580417873743,-0.15459020449636668,0,1.0758056925473933,1.955574434336854,-0.2945977787216459,-0.09964902942233791,-0.271636029252641,-0.0006022228011996994,-0.21009143022745486,-0.439687184457427,-0.12544863239276124,-0.16709566026916292,0.4315081279591121,-0.8005821582818079,0.9751203210278782,0.9751203210278782
2,Q16625,-0.3778969082114366,-0.5031635239406547,0.7032854371807238,-0.2890725037045031,0.020174725332693634,0.23769984538700312,-0.882946006405951,0.7575073987373976,-0.14777619856290758,-1.35560409162875,0.6110573090137191,-0.7834839682618187,0.04620910168774572,-0.5648738390481454,-0.16999117917493425,0.5025299633189113,-0.7442562140970914,0.016171026296600104,-0.2686184753697983,4.897040923809659,2.2556591329904303,-0.7855060529778053,0,0.06693099693406497,-0.5188295016530761,2.123329620183103,-0.13173467255215382,0.10616229197302661,-0.46746261861003996,0.041490934650542696,0.40183981626374204,0.9819495968029467,1.0353498414283504,0.03332616791825602,0.6476943882618655,0.19175407213225132,0.19175407213225132
3,Q9Y6N9,-0.8191140047016441,-0.9056495006363744,0.8567563154845768,1.5010604381115258,-0.5098780996444151,0.5345964828482267,-0.44301308206894735,0.9733805940325158,0.5395667013758975,0.023926952851605864,-0.36093199278940385,-1.0265392503180475,-0.6225123974616379,0.1459434882258418,0.5771049673058808,-0.7028407198643749,-1.793365039458262,1.188946630719135,-0.3375332438530377,-0.402692440252863,-0.5930015711795024,-1.0464152280827381,0,-1.0504057026520432,-1.4548630997489462,1.1247649165622107,-0.13824716864663486,-0.34969711202987447,0.06058920812262447,-0.21009143022745486,-0.439687184457427,-0.03623378802466148,-0.056387409032792164,1.107526007879221,0.465920267848004,-0.6345053852636484,-0.6345053852636484
4,Q96CV9,-0.19729066607327034,-0.5866337877385046,-0.41334179424937245,3.4305153420798637,-1.343214903284939,-1.0819551104920593,0.13717591091769935,-0.8498882787972003,1.468730413598198,0.8917605355798397,0.6912947827518087,-0.200445354170188,-1.2147276855660258,1.3052736620289263,-0.26187926701117803,0.01691200786850045,0.06722812078719152,-1.2275006632892358,-1.077785350069505,-1.7014586648258265,-1.925844356651783,-1.1982269049160978,0,-0.5134073852793164,0.4205051708134863,0.11683572831853366,-0.07753444018511825,-1.4550593635716513,-0.49238085873360593,2.46782904159151,2.0848938177060807,1.1507567259463958,1.2423754545445076,-0.4317147033234892,-1.1397591117794954,-1.2840893989079227,-1.2840893989079227
5,Q9NS56,-1.012803112590361,-0.2540469287953396,1.2981655508582128,-0.06544471799228396,-0.3244379747145171,-0.8523417167114619,0.5793659271775958,-0.8904222387679646,0.20017059001855503,-1.5480905706748964,-1.3983736536986415,0.6375179645457766,-0.28001488153850485,-0.7299119854597759,3.137687824478001,2.6646450842141056,0.12463776107623079,-0.6533002521672474,-0.9032410591668432,0.29778690559820176,-0.32966487926405486,1.6474778829736605,0,-0.07755683194771724,-0.8041736950943433,-0.0004744408345217866,-0.13841366213670875,0.17171628208975181,-0.3248296656315852,-0.20887038740670305,-0.37495433824810626,0.28685102631719783,0.277869682434848,-0.483716078701959,-1.3971017872815659,0.7879782135918676,0.7879782135918676
6,P49918,5.376313474470085,-0.7588997812852067,-0.5654975703396615,-0.5353434008329011,-1.2247822298190585,-0.4826190007741943,-1.743006180154196,-1.9225370124525296,-1.634326123204518,-0.7735095150021679,-1.5123278844576145,-1.8363642548309602,3.8007894078796975,-0.11585778395849677,0.5451161861062869,-0.007258262797934695,-1.7017728022623315,1.0492849854571746,-0.6987862049198633,-1.9053142547916122,-1.835298500385528,-1.0276053145876394,0,-0.03208580083043747,2.5421460876675415,0.3703284718729584,0.21628574253181937,-0.04995987358144195,-0.33530408581848864,-0.06926581626487208,0.20764127763578022,0.7681116588515183,0.7933431317634501,-0.3173116774908548,-1.5217503982198002,1.3534552750683064,1.3534552750683064
7,P42771,4.689252202627514,-0.9602486897827273,1.4768766713596495,-0.0019400221241216873,-2.1240882369018412,0.7553657773706755,0.7160026869205344,-1.3995037634979948,-2.4061885840761232,0.5389832807040621,0.9769452622292965,-0.8711315369013996,0.29331699742989836,-2.2681788436844665,2.917601053906326,-1.3667675918931554,-1.4515937360213558,0.17857392232215583,0.16056149819967006,-1.3389260260194522,-1.8184691745687425,-0.9443714473718272,0,-0.13605981478046744,0.20282554472510725,-0.4502909642898378,-0.12585280340097885,1.0459138121140386,-0.2055574173559028,-0.21009143022745486,-0.439687184457427,-0.570475776525198,-0.5992636297037909,-0.7021218552915324,-0.9954286853787019,-0.2871374743528545,-0.2871374743528545
8,Q92597,-0.05375879250093576,-0.05294135203935835,-0.07293237159907075,-0.37979241097509303,-0.7676337824000653,0.6365762077291551,1.2914869155278337,-0.3874875265931985,-1.0648979794819797,-0.5641104473825409,3.041642933928033,0.4304014890326803,-0.20382562192275772,-0.03739079155291706,-0.8970874596034062,0.2778275761382038,1.282279283523117,0.5824768234981916,-0.5286615327286865,-0.2430223046883452,-0.7265107560138345,-0.9645921043790584,0,0.1873453290599314,-0.3706717115425629,0.29810821666912635,-0.1345336526331666,0.18422337475025716,0.6225237802410527,-0.21009143022745486,-0.439687184457427,-0.8236623348364922,-0.8673318734483445,-0.24302399837875596,-0.539848848480551,0.4662962753361173,0.4662962753361173
9,O00165,-2.1008159607198853,-1.378842473238099,3.5520711015208906,0.6085322627608544,3.5683971336336073,1.1209407381927947,0.7357708461246563,-1.084793345332251,-1.6776684597170215,-1.5127857931574826,-0.5823406745926469,-1.7115586265180252,1.7900549166058128,-0.8000452203651358,2.0368528034062336,0.6939043609144516,-0.6836320422156611,-1.4606199942685565,0.8357962660003141,-1.8320796477917711,1.4610054495955445,-1.432410327930078,0,0.6942514842328897,-0.9785396432881486,-0.44637759454145437,-0.10702149554410226,-0.5838803603615761,-0.4259386165933317,-0.21009143022745486,-0.439687184457427,-0.9767965211801143,-1.019510986420562,0.06601274672758053,-0.9013721851786886,1.4742986610692685,1.4742986610692685
